gene,shap_importance
AFDN,6.465989e-05
PTPRH,6.392753e-05
MYO18A,6.384848e-05
TDRD6,6.383056e-05
USP29,6.273576e-05
MYH9,6.272801e-05
ABCC8,6.133692e-05
F13B,6.0190276e-05
PLCL2,5.936326e-05
KDM3B,5.885343e-05
DOCK8,5.8681286e-05
ABCC11,5.8452533e-05
FRYL,5.7846853e-05
ADGRB1,5.783618e-05
PARD3B,5.7657635e-05
PCDHGA8,5.6443438e-05
SPAM1,5.5892913e-05
ATP1A2,5.5132867e-05
FAM83B,5.4401116e-05
MKRN3,5.337854e-05
CDH20,5.331189e-05
ACACA,5.308097e-05
NOVA1,5.1275496e-05
TRIO,5.061765e-05
SRGAP3,5.0587183e-05
ITIH2,5.038746e-05
DOCK7,4.958223e-05
MYOM1,4.921874e-05
PXDN,4.866334e-05
PLXND1,4.835579e-05
CHD8,4.7858168e-05
FRMPD2,4.7599788e-05
DGKB,4.6901663e-05
NPC1L1,4.6890178e-05
EML5,4.5339515e-05
FRMPD3,4.506977e-05
WNK2,4.5017892e-05
CWH43,4.4432174e-05
LRP12,4.4000753e-05
OR2M5,4.3806776e-05
ROCK1,4.3222026e-05
XRN1,4.2630083e-05
SLCO5A1,4.2137402e-05
EPHA6,4.1972904e-05
NELL1,4.1586958e-05
CLCA4,4.1133604e-05
DSC1,4.1122217e-05
BMPER,4.0991275e-05
TANC2,4.013036e-05
PLCL1,4.01284e-05
SLIT1,3.9372473e-05
GUCY1A2,3.8226906e-05
ITGAX,3.7531125e-05
PRRC2C,3.7310558e-05
SHANK1,3.70857e-05
PLXNA3,3.5894325e-05
CDH11,3.5389538e-05
CR2,3.5243935e-05
SLC44A5,3.4356337e-05
OR2T12,3.319873e-05
ZNF711,3.275918e-05
GABRA2,3.2604243e-05
PCDHA4,3.2088003e-05
RAD51AP2,3.175135e-05
RPTN,3.0131268e-05
USP26,3.0008547e-05
CDH4,2.9887726e-05
CEP350,2.9798317e-05
RALGAPB,2.9030643e-05
TTBK1,2.8963324e-05
PPP4R4,2.8866638e-05
ZNF91,2.7865217e-05
NUP205,2.7694834e-05
ARMC4,2.7114918e-05
ABCC9,2.6812599e-05
ITGAD,2.6660335e-05
LVRN,2.6548147e-05
MDGA2,2.6406688e-05
MARK1,2.6392647e-05
SHANK2,2.6237813e-05
RASAL2,2.6087957e-05
THOC2,2.5921521e-05
TRPC4,2.588675e-05
ATP1A3,2.5450096e-05
DUOX2,2.4796482e-05
POSTN,2.450415e-05
OR2M3,2.374485e-05
ABCA10,2.1577644e-05
TP63,2.116106e-05
TRPM8,2.090953e-05
SLC12A5,2.0810565e-05
TET3,2.0425978e-05
COL28A1,1.97294e-05
MAGEL2,1.9373945e-05
WDR7,1.916985e-05
ANKS1B,1.9124469e-05
CADPS,1.8867848e-05
AKAP13,1.8815217e-05
GRM6,1.8170724e-05
LEPR,1.8094152e-05
PCDHGA6,1.7279057e-05
NWD1,1.6890981e-05
OR6K2,1.6289843e-05
CEP128,1.4847472e-05
KIF1A,1.41493965e-05
ZBTB20,1.3963431e-05
ZEB2,1.3048672e-05
PCDHB4,1.2933023e-05
ATP2B2,1.2900527e-05
SCN4A,1.2834041e-05
PKD1,1.281781e-05
AOX1,1.1943097e-05
LAMB1,1.128537e-05
HIVEP2,8.469154e-06
C2orf16,7.899645e-06
PCDHGA1,7.196438e-06
CFAP65,5.047562e-06
SLC27A6,0.0
SALL4,0.0
ROBO4,0.0
SLC4A3,0.0
PCNX1,0.0
PCF11,0.0
PCDHGB3,0.0
PCDHGA4,0.0
PDE1C,0.0
PDZRN4,0.0
PLA2R1,0.0
PIKFYVE,0.0
POTEE,0.0
PLEKHH2,0.0
POTEF,0.0
PPP1R9A,0.0
PTCHD3,0.0
PTCHD4,0.0
SLX4,0.0
SMARCA2,0.0
NUP98,0.0
SPG11,0.0
OR4Q3,0.0
NUTM1,0.0
OR2L13,0.0
OR2G6,0.0
PCDHB13,0.0
PCDHB10,0.0
PCDHA11,0.0
PCDHA13,0.0
PASD1,0.0
PCDHAC1,0.0
PCARE,0.0
PCDHB9,0.0
PCDH9,0.0
PCDHB1,0.0
MEGF10,0.0
SYCP1,0.0
MUC5AC,0.0
NCAM1,0.0
NLRP10,0.0
NID2,0.0
NID1,0.0
RGS7,0.0
PYHIN1,0.0
PZP,0.0
PROS1,0.0
PROX1,0.0
RALGAPA1,0.0
RET,0.0
PTPRR,0.0
PTPRU,0.0
SLCO1C1,0.0
SLCO1B3,0.0
SLC5A7,0.0
A2M,0.0
SHROOM3,0.0
SIPA1L1,0.0
SEMA3D,0.0
SHROOM4,0.0
SLC17A6,0.0
ROR2,0.0
ZSWIM2,0.0
ZNF676,0.0
SLC14A2,0.0
ABCA7,0.0
ZNF560,0.0
ABCB11,0.0
TIAM2,0.0
THEMIS,0.0
ITGB4,0.0
TET1,0.0
KCND2,0.0
KCNJ3,0.0
KCNQ5,0.0
KATNIP,0.0
KIF13A,0.0
KIDINS220,0.0
KIAA0319,0.0
KIF1B,0.0
LRFN2,0.0
LMO7,0.0
LHCGR,0.0
KNTC1,0.0
MGAT4C,0.0
MDC1,0.0
LY75,0.0
MAGEC2,0.0
LILRB1,0.0
LRRTM4,0.0
NUP210,0.0
NLRP5,0.0
NFASC,0.0
GABRB3,0.0
HCFC1,0.0
IGSF9B,0.0
HFM1,0.0
HEPHL1,0.0
GRM7,0.0
IL7R,0.0
TRIM58,0.0
TRIM42,0.0
TRERF1,0.0
TP53BP1,0.0
FGD5,0.0
TOGARAM1,0.0
FCRL5,0.0
EPHB6,0.0
DSEL,0.0
DSC2,0.0
ENAM,0.0
DNAJC13,0.0
ELOA2,0.0
EPRS1,0.0
EYA4,0.0
EFCAB6,0.0
CR1,0.0
GABRG2,0.0
GIMAP8,0.0
GALNT13,0.0
FLNB,0.0
FLRT2,0.0
FREM1,0.0
GPC5,0.0
FCRL3,0.0
HEATR5B,0.0
HECTD1,0.0
GRIK1,0.0
GRIK2,0.0
GRIK3,0.0
TNRC6A,0.0
GTF3C1,0.0
CFHR5,0.0
CFAP43,0.0
UGT2B15,0.0
UGT2B28,0.0
TUBA3C,0.0
CHRM3,0.0
CIT,0.0
TSPOAP1,0.0
COL4A3,0.0
COL4A2,0.0
COL20A1,0.0
COBL,0.0
DCAF8L1,0.0
DLGAP3,0.0
TRPC3,0.0
CDK5RAP2,0.0
CARD6,0.0
CACNA2D4,0.0
CASZ1,0.0
CASR,0.0
C7,0.0
CACNA1S,0.0
BRINP1,0.0
CFTR,0.0
CDH2,0.0
CD109,0.0
CECR2,0.0
UNC45B,0.0
USP24,0.0
VCAM1,0.0
CDH8,0.0
CHAT,0.0
ATP12A,0.0
ATP10D,0.0
VIRMA,0.0
BNC1,0.0
AXDND1,0.0
BCHE,0.0
C12orf40,0.0
BTBD11,0.0
C2orf78,0.0
ASAH2,0.0
ARHGAP31,0.0
ANKFN1,0.0
ANO3,0.0
ANKRD17,0.0
ARPP21,0.0
ATP13A4,0.0
AKAP11,0.0
YLPM1,0.0
AMER3,0.0
ALMS1,0.0
ADCY5,0.0
ADGRE1,0.0
AGBL1,0.0
AMPD1,0.0
ADAM7,0.0
ADAMTS6,0.0
ADAMTSL1,0.0
ADAMTS9,0.0
ADAMTSL3,0.0
ACAN,0.0
ADAM2,0.0
ZNF318,0.0
