gene,shap_importance
ZNF208,0.0033480467
HEPH,0.0033351476
SLC9C1,0.00331705
OR2M2,0.0033106375
ASTN1,0.0033050324
ZDBF2,0.003296706
PCDHB11,0.0032528942
MMP16,0.0032306474
NRK,0.0032242949
IMPG2,0.0032174909
ZBBX,0.003200462
CPS1,0.0031906154
NCOR1,0.0031553665
DISP3,0.0031504172
GABRA6,0.0031476805
FRAS1,0.0031391557
FSTL5,0.0031248378
CD163,0.003101239
CHD4,0.0030909586
SLIT3,0.00308732
PCDHA3,0.003086146
GRM3,0.0030804113
UGGT2,0.0030572684
COL4A6,0.0030527778
TRPM6,0.0030414092
GRIA4,0.0030244982
GON4L,0.003014181
ZAN,0.003013463
MKI67,0.0030079081
EPB41L3,0.00300595
ERBB4,0.00298507
SMG1,0.0029828176
GRIA2,0.0029162797
CREBBP,0.0029144315
SETX,0.002913984
FOLH1,0.0029130054
UBR4,0.0028866704
PCDHGA2,0.0028822336
ABCA12,0.0028386023
FBN3,0.002833604
ADGRG4,0.002833196
SCN2A,0.0028312241
NCOA6,0.0028277556
SALL3,0.0028057427
RASGRF2,0.0027999096
THSD7B,0.0027997564
FSCB,0.0027843367
FASN,0.0027755522
ATR,0.0027648618
KDM6A,0.0027451203
GRM8,0.002732153
TRRAP,0.002730143
KLHL1,0.002729509
ADCY2,0.0027021416
HECTD4,0.0026973593
PCDHGA5,0.0026972597
PCDH11X,0.0026849622
MYO15A,0.0026772518
DSG3,0.0026676632
ICE1,0.0026527047
PCNT,0.0026485967
CNTNAP4,0.0026434818
NIPBL,0.0026290447
RESF1,0.0026252721
OR4N2,0.0026154064
USP9X,0.002613074
ADAMTS2,0.0025937357
GRIN2B,0.0025855876
LRRC4C,0.0025597278
SPATA31E1,0.0025567692
NPAS4,0.0025426855
CUL9,0.002540585
KPRP,0.002538846
TAF1L,0.0025156364
PTPRN2,0.002512356
CFAP54,0.0025109784
MYPN,0.0025109372
SLCO6A1,0.0024941918
CLCN1,0.0024920134
ACTN2,0.002472525
RIMS1,0.0024701776
ZEB1,0.002469276
CAD,0.002467254
FAM47C,0.0024540278
ADAM29,0.0024484294
GRIA1,0.0024442873
ABCA4,0.0024390358
ENPEP,0.0024331484
USP34,0.0024320874
NCKAP5,0.002424534
HUWE1,0.002399503
ANKRD12,0.0023803846
TENM2,0.002372034
ATP10B,0.0023715068
FRMPD1,0.002365351
PCDH11Y,0.002363001
SLC8A1,0.0023575653
GPR149,0.0023524696
AHCTF1,0.0023447764
MAGEC3,0.0023396558
F13A1,0.0023088525
CHD6,0.0022979502
TENM4,0.0022969586
SZT2,0.002296109
DOCK2,0.0022838414
TENM3,0.002282772
PTPRB,0.0022738557
DOCK11,0.00227244
SALL1,0.0022606733
SRCAP,0.0022538858
NETO1,0.00224554
DPYD,0.0022427863
ASH1L,0.002229307
GALNT17,0.00222717
MTOR,0.0022047663
MAP1A,0.0021987325
F5,0.0021966833
BCORL1,0.0021905957
WDR72,0.0021872502
SCN11A,0.0021840197
TRANK1,0.002168031
PCDHB5,0.0021561414
CHD7,0.0021486552
NBAS,0.002141277
ATP10A,0.002137752
ITGA10,0.0021202848
NRCAM,0.0021084268
TLN1,0.0021034973
OR4C6,0.0020904853
OGDHL,0.0020827488
ZNF292,0.0020502273
VWF,0.002043737
ARID2,0.0020416947
ITSN1,0.0020076188
TACC2,0.0020011575
FAM47A,0.0019979612
WDR17,0.0019930506
TRPA1,0.0019834635
HECW1,0.0019776528
UGT2B4,0.001964319
PLCG2,0.001962853
EPHA5,0.0019474257
PCDHA7,0.0019469828
SYCP2,0.0019455829
HRNR,0.0019449517
USF3,0.0019383987
PTPRS,0.0019238604
BSN,0.0019099273
COL9A1,0.0018978807
NOS1,0.0018922875
ZBED9,0.0018724637
ASTN2,0.0018714911
COL11A2,0.0018660568
MYH15,0.0018382287
CDHR2,0.0018380977
GPR179,0.0018288849
PCDHB14,0.0018282363
GLI3,0.0018277781
MAST4,0.0018060384
GRIA3,0.0018041536
SPTBN4,0.0018000203
SLITRK2,0.0017934082
SEMA5B,0.001793271
DCAF4L2,0.001791191
GABRG1,0.0017905099
POM121L12,0.0017902622
COL5A3,0.0017881853
SNRNP200,0.0017812323
FSHR,0.0017770672
KIAA1109,0.0017752814
CENPE,0.0017748132
ZFC3H1,0.0017707928
KNL1,0.0017685408
RASGRF1,0.0017522618
PRDM16,0.0017405561
RIF1,0.0017363664
MYH3,0.001735341
EP300,0.0017348144
OR5D18,0.0017305547
PLCH1,0.0017274678
IQGAP2,0.001726934
AFF2,0.0017209979
SPTBN1,0.0017179959
TMEM132D,0.0017055044
NLGN4X,0.0017037801
DOCK4,0.001701479
DSC3,0.0016917243
DOP1B,0.0016890297
SNAP91,0.0016869155
RAPGEF2,0.001685471
DMBT1,0.0016821569
UNC79,0.0016748456
SVEP1,0.0016625555
ALPK2,0.0016557551
RANBP2,0.0016509165
PDILT,0.0016496499
PHLDB2,0.0016463399
TNXB,0.0016398316
TENM1,0.001637608
MCF2,0.0016315922
FNDC1,0.0016262417
CDH18,0.0016261175
TECTA,0.0016220722
TFAP2D,0.0016196767
HIVEP1,0.0016162047
SORCS1,0.0016160602
CNOT1,0.0016097919
NEXMIF,0.0016005374
DNAH2,0.001582629
MGA,0.0015675683
BRWD3,0.0015533894
EXPH5,0.0015502926
SCN8A,0.0015399057
KDR,0.0015236306
CACNA1F,0.0015130864
REV3L,0.0015101604
ITGA8,0.0015032582
OR5D13,0.0014999622
GABRB2,0.0014912656
NRXN2,0.0014853642
C8B,0.0014817548
CHD9,0.0014805282
IRS4,0.0014789401
GPR158,0.0014774739
CASS4,0.0014741581
NYNRIN,0.00145906
PKD1L1,0.0014567865
PHF3,0.0014556467
NELL2,0.0014524648
MBD5,0.0014505375
MYBPC1,0.0014493074
KIF21A,0.0014488485
ESPL1,0.0014336156
COL4A5,0.0014326286
LINGO2,0.0014288209
ITGAL,0.0014235473
TPTE,0.0014182273
NOTCH4,0.0014111847
MTCL1,0.0014094516
KCNB1,0.0014067782
DYSF,0.0014058935
TCF20,0.0014026891
DCDC1,0.0014023549
CALCR,0.0014002183
COL21A1,0.0013912704
EPHA3,0.0013853081
OR5L1,0.0013756852
BDP1,0.001374045
VWA3B,0.0013735968
IGSF10,0.001370051
XYLT1,0.0013622603
AFF3,0.0013549553
PDE3A,0.0013546564
MYOF,0.0013489685
KIF2B,0.0013433311
ZFYVE26,0.0013419181
ACACB,0.0013379673
PCDHB6,0.0013217997
COL1A2,0.001320831
KNDC1,0.0013201233
GRM5,0.0013167922
TRHDE,0.001314933
KCNH7,0.001314276
NLRP12,0.001310941
HDAC9,0.0013097147
MYH11,0.0013063229
BAZ2B,0.0012984222
LRP4,0.0012942817
CNTN1,0.0012545219
NCAM2,0.0012498938
OR2T33,0.0012419646
PCDH7,0.0012416936
LCOR,0.0012328194
TRIP12,0.0012225828
ADAMTS5,0.0012221293
PPFIA2,0.0012158775
SLITRK6,0.0012157619
C6,0.0012072773
EVPL,0.0011974821
KIAA1210,0.0011970818
MECOM,0.0011959297
SIPA1L3,0.0011942236
COL4A4,0.0011937513
KALRN,0.001192167
CDH23,0.0011841655
ABCB1,0.0011788891
CHD3,0.0011729074
ROBO1,0.0011694299
SULF1,0.0011595273
DMXL1,0.0011579396
MUC2,0.0011571773
RNF17,0.0011521431
CENPF,0.0011494741
CDH7,0.0011488796
SLC39A12,0.001143713
COL5A2,0.001142488
LRFN5,0.001137035
NOL4,0.0011350309
TNIK,0.0011341636
DOCK10,0.0011308426
MYO9A,0.0011244911
DSG4,0.0011226225
PTPRC,0.0011182625
PCDHA1,0.0011061009
KIF21B,0.00110525
SFMBT2,0.0010990587
PCDH17,0.0010937895
SLC26A7,0.0010883205
PCDHGA3,0.0010875674
TEP1,0.0010860509
SAGE1,0.0010821003
DMXL2,0.0010776914
DAB1,0.0010754345
NRXN3,0.0010715647
RFX6,0.0010710539
FANCM,0.0010709118
CIITA,0.0010696872
CD163L1,0.0010648373
OTOF,0.0010627857
LTBP1,0.001055359
KCNA4,0.0010477543
UGT3A1,0.0010462077
TAF1,0.0010318392
TRPM1,0.0010303556
ADAMTS20,0.0010251149
UTRN,0.0010237942
ANKHD1-EIF4EBP3,0.0010096092
ST18,0.0010090052
DLC1,0.0010072931
CAMTA1,0.0010067042
TPO,0.001006686
TLL1,0.0010038168
TG,0.0009970523
LRRK1,0.0009932927
TRPM2,0.0009924192
MYT1,0.0009824954
DICER1,0.0009820323
ADAM23,0.0009813494
CARD11,0.0009785818
DSCAML1,0.0009702522
HERC2,0.00096878974
HERC1,0.00096502807
KIF16B,0.00096114463
MAP3K19,0.0009561087
ITPRID1,0.0009548038
MEGF8,0.00095264334
SEZ6L,0.000951201
RTL9,0.0009491574
FER1L6,0.00094369735
PGK2,0.0009364361
PLG,0.00092935
KIAA1217,0.0009212352
SLC9C2,0.00091411255
MYH1,0.00091131753
PDE4DIP,0.0009094823
MROH7,0.00090907875
ANKRD11,0.0009046264
SIM1,0.0009029392
ATP7A,0.0009022089
ADCY1,0.00090208714
MYO7B,0.00089453696
ITIH5,0.0008865513
GRID2,0.0008842395
MRC1,0.0008841416
CNTN3,0.00088356255
MORC1,0.000880574
MYH7,0.000878857
EPG5,0.0008684198
NLRP3,0.0008678528
MAGEC1,0.0008647935
CATSPERB,0.0008608581
HTT,0.0008593554
MYO16,0.00085655204
ATRNL1,0.0008543462
PXDNL,0.00084831304
PCDH10,0.00084826327
DDX60,0.00084657565
CUX1,0.00083878136
AMER1,0.000834033
NOTCH2,0.0008320289
NUP214,0.00082852977
DCAF12L2,0.00082703104
PCNX2,0.0008260591
CRACD,0.00081418623
ABCA8,0.00081169035
PRRC2B,0.0008047554
