cancer_type,threshold
BRCA,0.09219826757907867
COAD,0.09077779203653336
GBM,0.125228613615036
KIRC,0.08469732850790024
LIHC,0.055805061012506485
LUAD,0.20571739971637726
LUSC,0.08687085658311844
OV,0.15212568640708923
PRAD,0.07867678999900818
SKCM,0.11378652602434158
UCEC,0.05
UVM,0.07213861495256424
